Teamleader ID,Client,Adresse e-mail de contact,Date acceptée,Phase,Item: Produit ID
33265147,ROCH'IMMOBILIER,rochimmo@orpi.com,2020-02-10,Accepté,Starter
32804892,A Pas d'Géant,nicolasmarietteeapa@icloud.com,2020-01-07,Accepté,Starter
33379393,A4IMMO,perrinepirmez2@gmail.com,2020-02-10,Accepté,Starter
33326368,AGENCE IMMOBILIERE EUROTRANSACTIONS,,2020-02-27,Accepté,Business Annuelle
36142281,Audition Fréjus,contact@audition-frejus.fr,2020-07-08,Accepté,Starter
30593015,BELLA YACHT,contact@bellayacht.fr,2019-09-23,Accepté,Prime annuelle
32269925,Best Western Hôtel Hermitage,,2020-02-20,Accepté,Prime annuelle
32899774,Briday Immobilier,info@bridayimmobilier.com,2020-02-11,Accepté,Starter
33640914,CENTRALYM SARL Immobiliere De L Aqueduc,mjouffrey@centralym.com,2020-02-14,Accepté,Prime annuelle
33109859,DE MECHE'S AVEC NAT,lafauriejl@orange.fr,2020-01-31,Accepté,Starter
35983050,EURL Araspad,serviage@gmail.com,2020-06-12,Accepté,Starter
35851349,EURL Before Immobilier,y.deprez@live.fr,2020-06-10,Accepté,Starter
32467781,EURL Chatillon Immobilier,catherine.mandran@gmail.com,2020-02-21,Accepté,Prime semestrielle
33675224,EURL Hangar 21,hangar-21@orange.fr,2020-05-27,Accepté,Prime annuelle
32364291,HOTEL DES 3 MAURES 2,tolfotel@wanadoo.fr,2020-02-04,Accepté,Prime annuelle
35867001,HOTEL LE PETIT BILLOT,capie.s.c@orange.fr,2020-06-17,Accepté,Starter
33102487,Hotel PRIMEROSE,primerose@ovh.fr,2020-04-27,Accepté,Business Annuelle
33346902,HOTEL RESTAURANT L'OCCITAN (MERCURE CASTRES L'OCCITAN),severine.fraysse@accor.com,2020-02-12,Accepté,Prime semestrielle
33349208,IBIS STYLES CASTRES,severine.fraysse@accor.com,2020-02-12,Accepté,Prime semestrielle
33917034,ISANEC Imogroupe Silvacane,agencesilvacane@wanadoo.fr,2020-03-03,Accepté,Starter
6006700,L'ACTION PARIS,eagaesse@mediatic.com,2019-12-17,Accepté,Business Annuelle
32039176,LA SAPINIERE,,2019-11-20,Accepté,Starter
10115644,LABORATOIRES SFB,direction@sfb.fr,2020-01-13,Accepté,Prime semestrielle
10115644,LABORATOIRES SFB,direction@sfb.fr,2020-07-01,Accepté,Starter
31176604,LILANG,,2019-10-29,Accepté,Prime annuelle
33921127,M Et D Immobilier,denis.dentz@gmail.com,2020-05-20,Accepté,Prime annuelle
32395157,SARL Contact Transactions Immobilieres,,2019-12-18,Accepté,Starter sans engagement
35746744,SARL Cot'ouest Immobilier,serge.silvia@wanadoo.fr,2020-06-09,Accepté,Prime annuelle
33586799,SARL Euro Dis,eurodis.fioul@yahoo.fr,2020-02-12,Accepté,Business Annuelle
36781907,SARL G.i.i. Med,labelagence83@gmail.com,2020-07-29,Accepté,ID'IMMO
31383066,SARL Hair Style Coiffure TIA,,2019-11-04,Accepté,Prime annuelle
36268817,SARL Hotel Du Grand Parc,directiongrandparc@gmail.com,2020-07-07,Accepté,Starter
35189242,SARL Mc Immo,emajoulet@orpi.com,2020-04-28,Accepté,Prime annuelle
32610422,SARL O'119 G La Dalle,hotel.massilia@gmail.com,2019-12-24,Accepté,Starter
30837251,SARL SpOc,lionel@spoc.fr,2020-01-16,Accepté,Prime annuelle
33950509,SARL Thoma Immo,info@thoma-immo.fr,2020-03-10,Accepté,Prime annuelle
36756019,SAS 2F Immo CENTURY 21,franck.gazziero@century21.fr,2020-07-29,Accepté,ID'IMMO
32422909,SAS 7Aventures,,2020-02-03,Accepté,Starter
31966609,SAS Adp Provence Coté Ventoux,reservation@hotelcoteventoux.com,2020-02-21,Accepté,Prime annuelle
32038033,SAS FRC FRENCH RIVIERA CONFIDENTIAL,,2019-11-20,Accepté,Business Annuelle
32396280,SAS Gestissimo,mathieu.clier@gestissimmo.com,2020-01-03,Accepté,IMMO annuelle
34933573,SAS Hotel Les Loges Blanches SAS,direction@leslogesblanches-megeve.com,2020-04-15,Accepté,Prime annuelle
36141765,SAS Prisma Conseil,tpetit@prismaconseil.fr,2020-06-24,Accepté,Prime annuelle
35983325,SASU Bel - Aurore,serviage@gmail.com,2020-06-20,Accepté,Starter
35983325,SASU Bel - Aurore,serviage@gmail.com,2020-06-12,Accepté,Starter
35543767,SASU Shal Cosmetic,shalcosmetic@gmail.com,2020-05-15,Accepté,Starter
32184976,SNC De La Ka REDFOX,,2019-12-04,Accepté,Prime annuelle
33843374,SNC Invest Hotel Campanile Dijon Nord Pouilly,manager.dijon.toisondor@campanile.fr,2020-02-27,Accepté,Business Annuelle
33533112,VITAL BEAUTE,vitalbeaute53@gmail.com,2020-02-25,Accepté,Prime annuelle
