Teamleader ID,Nom,Rue,Numéro de la rue,Code postal,Ville,Pays,Langue,Numéro de TVA,Adresse e-mail facturation,Province,Numéro d'identification national (Siret),Adresse e-mail,Site web,Type d'entreprise,Téléphone,Fax,Tags,Contact commercial,Conditions de paiement,Total à facturer,Comptabilité ID Client,Actif,Nombre de minutes non facturées,Dernière activité,Dernier rendez-vous,Date ajoutée,Dernière modification,Entreprises associées,N° Compte IBAN,Code BIC,Secteur,Notation,Chiffre d'affaires,Marge bén. br.,Bénéfice,Quick ratio,Degré ind. fin.,# Collaborateurs,Valeur ajoutée,Valeur ajout. par collaborateur,ROE,Taux horaire,Opt-in courriers marketing,BOITE POSTALE (FACTURATION),dernier échange,Infos +,TÉLÉPHONE AUTRE,Type relation
33265147, ROCH'IMMOBILIER,RUE DE SILENCE , 78,74800, LA ROCHE-SUR-FORON ,FR,FR,,,,82000827400020,rochimmo@orpi.com,http://www.laroch-immo.com/,SARL,+33 5 49 93 56 50,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-10,,2020-01-30,2020-03-20,,,,IMM,,,,,,,,,,,,0,,,,,
32804892,A Pas d'Géant,Allée Jean Monnet,7,86170,NEUVILLE DE POITOU,FR,FR,FR 09831710785,,,831 710 785 00013,nicolasmariette@icloud.com,https://www.centre-apasdegeant.com,,+33 5 49 51 89 09,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-07,,2020-01-07,2020-01-07,,,,,,,,,,,,,,,,0,,,,,
33379393,A4IMMO,PLACE DE L ETOILE,2 ,67210,OBERNAI,FR,FR,,,,83935592200015,perrinepirmez2@gmail.com,http://www.a-4-immo.com/,SAS,+33 3 88 20 48 67,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-01,,2020-02-04,2020-02-04,,,,,,,,,,,,,,,,0,,,,,
33326368,AGENCE IMMOBILIERE EUROTRANSACTIONS,MARCHE AUX BESTIAUX ,23 ,67500, HAGUENAU ,FR,FR,FR 42394955686,,,39495568600065,alexis.j@eurotransactions.fr,https://www.eurotransactions.fr,SARL,+33 3 88 94 37 88,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-01,,2020-02-03,2020-05-11,,,,AIM,,,,,,,,,,,,0,,,,,
36142281,Audition Fréjus,"Le Florus Bat E, 207 Rue Jean",Jaures,83600,Frejus,FR,FR,FR 22835155227,,,835 155 227 00019,contact@audition-frejus.fr,http://audition-frejus.fr/,SAS,+33 4 94 83 30 98,,,Abir Charmi,,0.00,,1,0,2020-07-13,,2020-06-24,2020-06-24,,,,,,,,,,,,,,,,0,,,,,
30593015,BELLA YATCH,AV STE MARGUERITE,22A,06150 ,CANNES,FR,FR,,,,85014420500018,contact@bellayacht.fr,https://www.bellayacht.fr,SAS,+33 6 69 46 09 45,,,VINCENT BOUHADDI ,0D,0.00,,1,0,2020-07-01,,2019-09-13,2019-09-23,,,,TOU,,,,,,,,,,,,0,,,,,
32269925,Best Western Hôtel Hermitage,Pl Gambetta,,62170,Montreuil,FR,FR,FR 76429691074,,,429691074,contact@hermitage-montreuil.com,https://www.hermitage-montreuil.com/fr,SNC,+33 3 21 06 74 74,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-10,,2019-12-04,2020-02-20,,,,HOT,,,,,,,,,,,,0,,,,,
32899774,Briday Immobilier,Av Joannes Hubert,3,69160,Tassin-La-Demi-Lune,FR,FR,FR 91529900615,,,52990061500020,info@bridayimmobilier.com,https://www.bridayimmobilier.com/fr/,SASU,+33 9 81 41 81 26,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-01,,2020-01-10,2020-01-10,,,,AIM,,,,,,,,,,,,0,,,,,
33640914,CENTRALYM SARL Immobiliere De L Aqueduc,Rue Des Aqueducs,36,69005,Lyon 5Eme,FR,FR,FR 26494398852,,,49439885200017,mjouffrey@centralym.com,https://www.centralym.com/fr/,SARL,+33 4 37 41 10 20,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-01,,2020-02-14,2020-06-17,,,,AIM,,,,,,,,,,,,0,,,,,
33109859,DE MECHE'S AVEC NAT,av du Général de Gaulles,216 ,33290,BLANQUEFORT,FR,FR,FR 11802527689,,,80252768900011,lafauriejl@orange.fr,lafauriejl@orange.fr,,+33 5 56 57 00 06,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-01,,2020-01-21,2020-01-31,,,,SCH,,,,,,,,,,,,0,,,,,
35983050,EURL Araspad,Rue Henri Barbusse,13,92000,Nanterre,FR,FR,FR 81500596556,,,50059655600034,serviage@gmail.com,http://www.servi-age.fr,EURL,+33 1 47 21 29 03,,,VINCENT BOUHADDI ,0D,0.00,,1,0,2020-07-10,,2020-06-12,2020-06-12,,,,MTR,,,,,,,,,,,,0,,,,,
35851349,EURL Before Immobilier,Chem Du Biesset,,38540,Valencin,FR,FR,FR 42790322739,,,79032273900026,contact@b4immo.fr,https://before-immobilier.fr/,EURL,+33 4 37 65 09 55,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-09,,2020-06-03,2020-06-03,,,,AIM,,,,,,,,,,,,0,,,,,
32467781,EURL Chatillon Immobilier,Rue Aime Bonneville,638,01200,Chatillon-En-Michaille,FR,FR,FR 04750647851,,,75064785100021,catherine.mandran@gmail.com,http://www.chatillon-immobilier-imogroup.com/,EURL,+33 4 50 48 02 49,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-07,,2019-12-13,2019-12-13,,,,,,,,,,,,,,,,0,,,,,
33675224,EURL Hangar 21,B Av Georges Mandel,36,33480,Castelnau-De-Medoc,FR,FR,FR 12753440031,,,75344003100023,hangar-21@orange.fr,http://hangar21.fr,EURL,+33 5 56 58 34 52,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-02,,2020-02-18,2020-02-18,,,,,,,,,,,,,,,,0,,,,,
32364291,HOTEL DES 3 MAURES 2,Pl De La Republique,4,71490,Couches,FR,FR,FR 12421967266,,,421 967 266,tolfotel@wanadoo.fr,,SARL,+33 3 85 49 63 93,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-01,,2019-12-09,2020-02-04,,,,,,,,,,,,,,,,0,,,,,
35867001,HOTEL LE PETIT BILLOT,RUE DUCOUDRAY,1 , 35500 , VITRE,FR,FR,FR 59341354785,,,34135478500030,capie.s.c@orange.fr,https://www.hotel-vitre.com/,,+33 2 99 75 02 10,,,VINCENT BOUHADDI ,0D,0.00,,1,0,2020-07-09,,2020-06-04,2020-06-04,,,,HOT,,,,,,,,,,,,0,,,,,
33102487,Hotel PRIMEROSE,DE L YSER ,23,65400 ,ARGELES-GAZOST ,FR,FR,,,,41076581200012,primerose@ovh.fr,https://www.au-primerose-hotel.fr,SARL,+33 5 62 97 05 15,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-02-12,,2020-01-21,2020-01-21,,,,HOT,,,,,,,,,,,,0,,,,,
33346902,HOTEL RESTAURANT L'OCCITAN (MERCURE CASTRES L'OCCITAN),av Charles de Gaulle,201 ,81100,CASTRES,FR,FR,FR 63417640307,,,41764030700019,severine.fraysse@accor.com,https://all.accor.com/hotel/A4C2/,SARL,+33 5 63 35 34 20,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-06,,2020-02-03,2020-02-12,,,,HOT,,,,,,,,,,,,0,,,,,
33349208,IBIS STYLES CASTRES,Rue Jean Souterène,29,81100,CASTRES,FR,FR,FR 88534793294,,,53479329400016,severine.fraysse@accor.com,https://all.accor.com/hotel/A4C1/index.fr.shtml,SAS,+33 5 63 35 34 20,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-06,,2020-02-03,2020-02-12,,,,,,,,,,,,,,,,0,,,,,
33917034,ISANEC Imogroupe Silvacane,RUE CLEMENCEAU,28,13640 , LA ROQUE D'ANTHERON ,FR,FR,FR8532980596,,,532980596,agencesilvacane@wanadoo.fr,http://www.imogroup-laroque.com/,SARL,+33 4 42 50 41 08,,,VINCENT BOUHADDI ,0D,0.00,,1,0,2020-07-01,,2020-03-03,2020-03-19,,,,AIM,,,,,,,,,,,,0,,,,,
32039176,LA SAPINIERE, rte Setques,12 ,62219,WISQUES,FR,FR,FR 48437715907,,,437715907,lasapiniere2@wanadoo.fr,http://www.sapiniere.net/,,+33 3 21 38 94 00,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-06,,2019-11-20,2019-11-20,,,,,,,,,,,,,,,,0,,,,,
31176604,LILANG,BOULEVARD DE CESSOLE,4,06100,NICE,FR,FR,FR5485166482,,,48516648200011,lilangcoiffeur@orange.fr,http://lilang-coiffure.com/,SARL,+33 6 50 76 82 19,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-01,,2019-10-10,2019-10-29,,,,COI,,,,,,,,,,,,0,,,,,
33921127,M Et D Immobilier,Place Réunion,2,68130,ALTKIRCH,FR,FR,FR9839361854,,,83936185400012,denis.dentz@gmail.com,https://www.md-immobilier.fr/,SARL,+33 3 89 25 68 70,,,VINCENT BOUHADDI ,0D,0.00,,1,0,2020-07-13,,2020-03-04,2020-03-04,,,,AIM,,,,,,,,,,,,0,,,,,
32395157,SARL Contact Transactions Immobilieres,Crs Taulignan,7,84110,Vaison-La-Romaine,FR,FR,FR 59351204359,,,AGENCE CTI,contact@cti-provence.com,,SARL,+33 4 90 28 82 00,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-04-16,,2019-12-10,2019-12-10,,,,,,,,,,,,,,,,0,,,,,
35746744,SARL Cot'ouest Immobilier,Av De La Californie,203,06200,Nice,FR,FR,FR 42451688949,,,45168894900036,serge.silvia@wanadoo.fr,https://www.cotouest-immobilier.com/,SARL,+33 4 92 09 77 20,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-02,,2020-05-26,2020-05-26,,,,AIM,,,,,,,,,,,,0,,,,,
33586799,SARL Euro Dis,Av De Lerins,42,06590,Theoule-Sur-Mer,FR,FR,FR 44403427214,,,40342721400016,eurodis.fioul@yahoo.fr,http://www.eurodis-carburants.fr,SARL,04934065,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-04-08,,2020-02-12,2020-02-12,,,,,,,,,,,,,,,,0,,,,,
31383066,SARL Hair Style Coiffure TIA,Av Du Gal De Gaulle,848,06700,Saint Laurent Du Var,FR,FR,FR 74528833189,,,52883318900038,rovera.caroline@gmail.com,,SARL,+33 4 93 26 41 97,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-06,,2019-10-17,2020-03-09,,,,,,,,,,,,,,,,0,,,,,
36268817,SARL Hotel Du Grand Parc,Av De La Gare,333,01170,Gex,FR,FR,FR 93799582085,,,79958208500012,directiongrandparc@gmail.com,https://hotelgrandparc.com/contact/,SARL,+33 4 81 13 14 40,,,Jean-Pierre Stacquet,,0.00,,1,0,2020-07-10,,2020-06-30,2020-06-30,,,,HOT,,,,,,,,,,,,0,,,,,
35189242,SARL Mc Immo,B Av Berthollet,9,74000,Annecy,FR,FR,FR 79522747831,,,52274783100033,orpi.mcimmo@gmail.com,orpi.com,SARL,+33 4 50 08 22 95,,,VINCENT BOUHADDI ,0D,0.00,,1,0,2020-07-10,,2020-04-27,2020-06-03,,,,AIM,,,,,,,,,,,,0,,,,,
32610422,SARL O'119 G La Dalle,Rue De La Benauge,119,33100,Bordeaux,FR,FR,FR 61878005669,,,87800566900014,hotel.massilia@gmail.com,,SARL,+33 6 07 17 59 59,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-01,,2019-12-20,2020-01-17,,,,HOR,,,,,,,,,,,,0,,,,,
30837251,SARL SpOc,Av Leon Berenger,111,06700,Saint Laurent Du Var,FR,FR,FR 58420857666,,,42085766600028,lionel@spoc.fr,www.spoc.fr,SARL,+33 4 93 07 40 44,,,VINCENT BOUHADDI ,0D,0.00,,1,0,2020-06-17,,2019-09-24,2019-09-24,,,,,,,,,,,,,,,,0,,,,,
33950509,SARL Thoma Immo,Rue De Bale,1,68870,Bartenheim,FR,FR,FR 46487644684,,,48764468400010,info@thoma-immo.fr,http://www.thoma-immo.fr/,SARL,+33 3 89 68 10 14,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-04,,2020-03-06,2020-03-06,,,,AIM,,,,,,,,,,,,0,,,,,
32422909,SAS 7Aventures,Bioge,,74200,Vernaz (La),FR,FR,FR 92792134942,,,562023192,7aventures@gmail.com,,SAS,+33 4 50 72 15 12,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-01,,2019-12-11,2019-12-11,,,,,,,,,,,,,,,,0,,,,,
31966609,SAS Adp Provence Coté Ventoux,Av Des Garrigues,148,84210,Saint-Didier,FR,FR,FR 23808198022,,,80819802200010,reservation@hotelcoteventoux.com,http://www.hotelcoteventoux.com/,SAS,+33 4 90 66 07 01,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-03,,2019-11-15,2020-03-12,,,,,,,,,,,,,,,,0,,,,,
32038033,SAS FRC FRENCH RIVIERA CONFIDENTIAL,Avenue des Alpes,24,06330,ROQUEFORT LES PINS,FR,FR,,,,RCS EN COURS,riza.ionut@chivhotel.com,,,,,,VINCENT BOUHADDI ,,0.00,,1,0,2020-07-09,,2019-11-20,2020-01-07,,,,,,,,,,,,,,,,0,,,,,
